system_prompt_id,system_prompt,description,version
Ограничение доступа к документам имеет значительный раз-
брос по срокам ограничения свободного доступа к ним персо-
нала (от нескольких часов до значительного числа лет). Следует учитывать, что основная масса конфиденциальных докумен-тов после окончания их исполнения или работы с ними теряет свою ценность и конфиденциальность. Например, переписка до заключения контракта может иметь гриф конфиденциаль-
ности, но после его подписания этот гриф снимается. Остав-шиеся конфиденциальными исполненные документы, сохраня-ющие ценность для деятельности фирмы, формируются в дела в соответствии с номенклатурой дел.
Период ограничения доступа к документам может быть кра -
тковременным или долговременным в зависимости от ценно-сти информации, содержащейся в документах. Период огра-ничения доступа определяется по указанному выше перечню конфиденциальных сведений и зависит от специфики деятель-
ности фирмы. Например, производственные, научно-исследо-вательские фирмы обладают более ценными документами, чем торговые, посреднические и др.
Документы долговременного периода ограничения доступа 
(программы и планы развития бизнеса, технологическая доку-
ментация ноу-хау, изобретения и др.) имеют усложненный ва-риант обработки и хранения, обеспечивающий безопасность информации и ее носителя.
Документы кратковременного периода ограничения доступа, 
имеющие оперативное значение для деятельности фирмы, об-рабатываются и хранятся по упрощенной схеме и могут не вы-деляться из технологической системы обработки открытых до-кументов при наличии в  этой системе минимальных защитных, 
контрольных и аналитических элементов.
Режим ограничения доступа к персональным данным сни-
мается в  случаях обезличивания этих данных или по  истечении 
75 лет срока их хранения, если иное не определено законом.
532.6. Правовой режим информационных ресурсов
2.6. правовой режим информационных ресурсов
Правовой режим информационных ресурсов определяется 
нормами, устанавливающими:
·	порядок документирования информации;
·	право собственности на отдельные документы и их мас-
сивы;
·	категорию информации по уровню доступа к ней;
·	порядок правовой защиты информации.
Государство имеет право выкупа документированной ин-
формации у физических и юридических лиц в случае отнесе-
ния этой информации к государственной тайне.
Собственник информационных ресурсов, содержащих све-
дения, отнесенные к государственной тайне, вправе распоря-
жаться этой собственностью только с разрешения соответству-ющих органов государственной власти.
Государственные информационные ресурсы РФ являются 
открытыми и общедоступными, исключение составляет доку-ментированная информация, отнесенная законом к категори-ям ограниченного доступа.
Документированная информация с ограниченным досту-
пом по условиям ее правового режима подразделяется на ин-
формацию, отнесенную к государственной тайне и конфиден-
циальную.
Режим защиты информации устанавливается:·	в отношении сведений, отнесенных к государственной 
тайне,  — уполномоченными органами на  основании зако -
на РФ «О государственной тайне» от 21.09.93 № 182-ФЗ;
·	в отношении конфиденциальной информации — соб-ственником информационных ресурсов или уполно-моченным лицом на  основании Федерального закона 
«Об информации, информационных технологиях и за-щите информации от 27.07.2006 № 149-ФЗ;
542. Информация как объект защиты
·	в отношении персональных данных — Федеральный за-
кон «О персональных данных» от 27.07.2006 № 152-ФЗ.
Органы государственной власти и организации, ответ-
ственные за формирование и использование информацион-ных ресурсов, подлежащих защите, разрабатывающие и при-меняющие информационные технологии для формирования и использования информационных ресурсов с ограниченным доступом, руководствуются в своей деятельности Законода-тельством РФ.
Контроль за соблюдением требований к защите инфор-
мации и эксплуатацией специальных программно-техниче-ских средств защиты, а  также обеспечение организационных 
мер защиты информационных ресурсов, обрабатывающих информацию с ограниченным доступом в негосударствен-ных структурах, осуществляется органами государственной власти.
Собственник информационных ресурсов имеет право осу-
ществлять контроль за выполнением требований по защите ин-формации и запрещать или приостанавливать обработку инфор-мации в случае невыполнения этих требований.
Риск, связанный с использованием несертифицированных 
систем и средств, лежит на собственнике (владельце) этих си-стем и средств. Риск, связанный с использованием информа-
ции, полученной из несертифицированной системы, лежит на потребителе информации.
Персональные данные относятся к категории конфиденци-
альной информации, однако перечни этих данных должны быть закреплены на  уровне федерального закона. В  связи с  этим дея -
тельность негосударственных организаций и частных лиц, свя-занная с обработкой и представлением пользователям персо-нальных данных, подлежит обязательному лицензированию. Все информационные системы, базы и банки данных, предна-
значенные для информационного обслуживания граждан и  ор-
ганизаций, подлежат сертификации.
552.6. Правовой режим информационных ресурсов
Автоматизированные системы органов государственной вла-
сти, которые обрабатывают документированную информацию 
с ограниченным доступом, а также средства защиты этих си-стем подлежат обязательной сертификации
Организации, выполняющие работы в области проектиро-
вания, производства средств защиты информации и обработ-ки персональных данных, получают лицензии на этот вид де-ятельности.
Закон предусматривает защиту прав на доступ к информа-
ции. Отказ в доступе к открытой информации или предостав-ление пользователям заведомо недостоверной информации мо-гут быть обжалованы в судебном порядке.
Во всех случаях лица, получившие недостоверную инфор-
мацию, имеют право на возмещение понесенного ими ущерба.
Руководители, другие служащие органов государствен-
ной власти, организаций, виновные в незаконном ограниче-нии доступа к информации и нарушении режима защиты ин-формации, несут ответственность в  соответствии с  уголовным, 
гражданским законодательством и  законодательством об  адми -
нистративных правонарушениях.
ВыВОды
·	Характеристика понятия «информация», выделение ос-новных свойств информации являются ключевыми мо-ментами при определении того, что же подлежит защите.
·	Выделены три основных свойства информации (конфи-денциальность, целостность и доступность), защита ко-торых обеспечивает сохранение ценности информации.
·	Информация является объектом права собственности и информационные отношения регулируются соответ-ствующими законодательными и нормативными актами.
·	Информационные ресурсы классифицируются в зависи-мости от вида отражаемой ими тайны.
562. Информация как объект защиты
Вопросы для самоконтроля
1. Что такое информация и каковы уровни ее представления?
2. Перечислите основные носители информации, особен-
ности их использования и защиты.
3. Какими свойствами определяется ценность информации?
4. Какие критерии оценки ценности информации Вы мо-жете предложить?
5. Приведите примеры различной зависимости ценности информации от времени.
6. Что понимается под информационными ресурсами?
7. Что не разрешается относить к информации ограничен-ного доступа?
8. Что понимается под конфиденциальной информацией?
9. Какие существуют виды тайны?
10. Какое назначение имеет перечень конфиденциальных сведений предприятия?
57 
3. Государственная политика  
информационной безопасности. 
Концепция комплексного обеспечения 
информационной безопасности
 Информационная безопасность и ее место в системе национальной 
безопасности Российской Федерации   Органы обеспечения инфор-
мационной безопасности и защиты информации, их функции и задачи,  
нормативная деятельность 
Информация, являясь продуктом деятельности, высту-
пает как собственность государства, предприятий, уч-реждений, организаций, граждан и как объект соб-
ственности требует защищенности. Однако проблема защиты информации не сводится только к защите прав ее собственни-ков, но и содержит в себе такой важный аспект, как защита прав граждан на свободный доступ к сведениям, гарантированный конституцией. Основы защиты информации разрабатываются органами государственной власти исходя из условий обеспече-ния информационной безопасности в частности и националь-
ной безопасности России в целом.
3.1. информационная безопасность  
и ее место в системе национальной безопасности российской федерации
Необходимым условием нормального существова-
ния и развития каждого общества является защищенность от внешних и внутренних угроз, устойчивость к попыткам 
583. Государственная политика информационной безопасности
внешнего давления, способность как парировать подобные 
попытки и нейтрализовать возникающие угрозы, так и обе-спечивать такие внутренние и внешние условия существова-ния страны, которые гарантируют возможность стабильного и всестороннего прогресса общества и его граждан. Для ха-рактеристики этого состояния используется понятие наци-ональной безопасности.
Под национальной безопасностью понимается состояние 
защищенности жизненно важных национальных интересов от внутренних и внешних угроз, при котором обеспечивается реализация конституционных прав и свобод граждан Россий-ской Федерации, достойные качество и уровень их жизни, су-веренитет, независимость, государственная и территориальная целостность, устойчивое социально-экономическое развитие Российской Федерации. Национальная безопасность включа-ет в себя оборону страны и все виды безопасности, предусмо-тренные Конституцией Российской Федерации и законодатель-ством Российской Федерации, прежде всего государственную, общественную, информационную, экологическую, экономи-ческую, транспортную, энергетическую безопасность, безо-пасность личности.
Поэтому в содержании понятия «национальная безопас-
ность» можно выделить различные структурные элементы (ком-поненты), одним из которых является Информационная без-опасность.
Информационная безопасность Российской Федерации 
(далее в данном разделе — информационная безопасность) — состояние защищенности личности, общества и государства от внутренних и внешних информационных угроз, при котором обеспечиваются реализация конституционных прав и свобод человека и гражданина, достойные качество и уровень жизни граждан, суверенитет, территориальная целостность и устой-чивое социально-экономическое развитие Российской Феде-рации, оборона и безопасность государства.
593.1. Информационная безопасность и ее место в системе национальной безопасности
Поскольку в условиях информатизации страны, развития 
информационных технологий информационные ресурсы фор-
мируются во всех сферах деятельности, и в первую очередь в политической, военной, экономической, научно-техниче-
ской, информационную безопасность следует рассматривать как комплексный показатель национальной безопасности. Этим определяется ее важное место и одна из ведущих ролей в системе национальной безопасности страны в современ-ных условиях.
Обеспечение информационной безопасности осуществляет-
ся в рамках обеспечения национальной безопасности.
Национальная безопасность достигается проведением еди-
ной государственной политики в области обеспечения безопас-ности, системой мер экономического, политического и ино-го характера, адекватных угрозам жизненно важных интересов личности, общества и государства.
Политика России в области национальной безопасности 
строится на основе «Стратегии национальной безопасности Рос-сийской Федерации», утвержденной Указом Президента Россий-
ской Федерации 31.12.2015 № 683.
«Стратегия национальной безопасности Российской Федера-
ции» — официально признанная система стратегических при-оритетов, целей и мер в области внутренней и внешней поли-тики, определяющих состояние национальной безопасности и уровень устойчивого развития государства на долгосрочную 
перспективу.
Стратегия является базовым документом по планированию 
развития системы обеспечения национальной безопасности Российской Федерации, в котором излагаются порядок дей-ствий и меры по обеспечению национальной безопасности.
Состояние национальной безопасности напрямую зависит 
от степени реализации стратегических национальных приори-тетов и  эффективности функционирования системы обеспече -
ния национальной безопасности.
603. Государственная политика информационной безопасности
На основе Стратегии разработана «Доктрина информацион-
ной безопасности Российской Федерации», введенная в действие 
Указом Президента РФ от 05.12.2016 N 646.
Доктрина представляет собой систему официальных взгля-
дов на  обеспечение национальной безопасности Российской 
Федерации в информационной сфере. В Доктрине определе-
ны национальные интересы в информационной сфере, введе-ны основные информационные угрозы и состояние информа-ционной безопасности, сформулированы стратегические цели и основные направления обеспечения информационной безо-пасности, описаны организационные основы обеспечения ин-формационной безопасности.
Законодательную основу обеспечения безопасности составляют:·	Конституция РФ;
·	законы и другие нормативные акты РФ, регулирующие отношения в области безопасности;
·	конституции, законы, нормативные акты республик;
·	нормативные акты органов власти и управления краев, областей, принятые в пределах их компетенции;
·	международные договоры и соглашения, заключенные или признанные РФ;
·	основные законы в области защиты информации, прав 
субъектов, участвующих в информационных процессах и информатизации;
·	федеральный закон «О  безопасности» №  390 -ФЗ 
от 28.12.2010;
·	федеральный закон от 27.07.2006 N 149-ФЗ «Об инфор-мации, информационных технологиях и о защите инфор-мации»;
·	федеральный закон от 21.09.93 г. № 182 «О государствен-ной тайне»;
·	федеральный закон от 27.0 7.06 г. № 152-ФЗ «О персональ-
ных данных»;
613.1. Информационная безопасность и ее место в системе национальной безопасности
·	федеральный закон от 27.12.91 г. «О средствах массовой 
информации»;
·	федеральный закон от 6.04.11 г. № 63-ФЗ «Об электрон-
ной подписи»;
·	Гражданский кодекс РФ (ч. 1, 2. 4);
·	Уголовный кодекс РФ.
Помимо правовых документов, в  Российской Федерации 
действуют нормативно-методические документы:
·	методические документы государственных органов Рос-сии: Доктрина информационной безопасности РФ, Руко-водящие документы ФСТЭК (Гостехкомиссии России), ведомственные приказы;
·	стандарты информационной безопасности: международ -
ные стандарты, Государственные стандарты РФ, рекомен -
дации по стандартизации, методические указания.
В целом развитие законодательной базы в области инфор-
мационной безопасности идет по четырем основным направ-
лениям:
·	защита сведений, составляющих государственную тайну;
·	защита конфиденциальной информации;
·	защита авторского права в сфере информатизации;
·	защита права на доступ к информации.
Систему национальной безопасности Российской Федерации 
образуют:
·	органы законодательной, исполнительной и судебной властей;
·	государственные, общественные и иные организации и объединения;
·	граждане, принимающие участие в обеспечении безопас-ности в соответствии с законом;
·	законодательство, регламентирующее отношения в сфе-ре безопасности.
623. Государственная политика информационной безопасности
Силы обеспечения безопасности включают в себя:
·	Вооруженные силы (ВС РФ);
·	федеральные органы безопасности (ФСБ РФ);
·	органы внутренних дел (МВД РФ);
·	органы внешней разведки (СВР РФ);
·	органы обеспечения безопасности органов законода-тельной, исполнительной, судебной властей и их выс-ших должностных лиц;
·	налоговую службу;
·	службы ликвидации последствий чрезвычайных ситуа-ций (МЧС РФ);
·	формирования гражданской обороны;
·	пограничные войска;
·	внутренние войска;
·	органы, обеспечивающие безопасное ведение работ в про-мышленности, энергетике, на транспорте и в сельском хо-зяйстве;
·	таможни, природоохранительные органы, органы охра-ны здоровья населения и  другие государственные орга -
ны обеспечения безопасности.
Для рассмотрения вопросов внутренней и внешней политики 
РФ в области обеспечения безопасности, стабильности и пра-вопорядка создан Совет безопасности РФ при Президенте. Он ответственен за состояние защищенности национальных ин-тересов от внешних и внутренних угроз.
Совет безопасности РФ в соответствии с основными зада-
чами его деятельности образует постоянные межведомствен-ные комиссии, которые могут создаваться на функциональной или региональной основе. В частности, Межведомственная ко-миссия по защите государственной тайны разрабатывает и ко-ординирует федеральные программы по защите информации, составляющей государственную тайну.
Обеспечение информационной безопасности осуществляет-
ся в рамках обеспечения национальной безопасности России. 
633.2. Органы обеспечения информационной безопасности и защиты информации, их функции и задачи
Оно предусматривает наличие государственной системы защи-
ты информации и законодательства в этой области.
3.2. Органы обеспечения информационной безопасности и защиты информации, их функции и задачи, нормативная деятельность
Органы обеспечения информационной безопасности в со-
вокупности с законодательством образуют государственную си-стему информационной безопасности и защиты информации.
Государственная система защиты информации включает:·	органы законодательной, исполнительной и судебной властей;
·	законодательство, регулирующее отношения в области защиты информации и информационных ресурсов;
·	нормативную правовую базу по защите информации;
·	службы (органы) защиты информации предприятий, ор-ганизаций, учреждений.
Структура государственной системы защиты информации 
представлена на рис. 3.1.
Органы законодательной власти (Государственная дума) из-
дают законы, регулирующие отношения в области защиты ин-формации. Их перечень рассмотрен в предыдущем разделе.
Нормативная база формируется на основе нормативных пра-
вовых актов в области защиты информации, издаваемых орга-нами различных ветвей власти, министерствами, ведомствами. Основу нормативной базы составляют руководящие докумен-ты и стандарты, издаваемые Госстандартом.
Органы исполнительной власти (правительство) контроли-
руют исполнение этих законов. Правительство принимает со-ответствующие постановления в области защиты информации и издает распоряжения, являющиеся подзаконными норматив-ными правовыми актами.
643. Государственная политика информационной безопасности
Ветви власти
Законодательн ая Исполнительн ая Судебная
Информ ационные ресурсы в ИС 
Законодательная база: законы 
Указы
Постановления
ГТК
Министерства и ведомства
Верховный суд Федеральн ое
собраниеПрезидент РФ
Генеральная 
прокуратураПравительст воГосударствен-
ная ДумаСовет 
федерации
ФСБ
 СВР
 МВД
 Гос-
стандарт
ФСТЭК
Суды
Нормативная база. 
Принимают: решения, постановления. 
Утверждают: руководства, положения, инструкции ,
прави ла, методические рекомендации и др. 
Издают: руководящие документы
Принимают :
постано вления
УК РФ, ГК РФ, КоАП
Субъекты информационных отношений
Органы государ-
ственной власти
Предприятия
Организации
Учреждения
Граждане
Нормативные правовые акты. Руководители издают приказы, распоряжения.
Утверждают : руководства, прави ла, положения, методические рек омендации. 
Заключают: договоры, контракты
Служба по защите информации
Рис. 3.1. Государственная система защиты информации
Министерства и ведомства в соответствии со своим предна-
значением разрабатывают и принимают постановления и реше-
653.2. Органы обеспечения информационной безопасности и защиты информации, их функции и задачи
ния, являющиеся нормативными правовыми актами. Кроме того, 
они разрабатывают и утверждают такие нормативные акты, как 
положения, руководства, инструкции, правила, методические рекомендации. К  нормативным актам этого уровня относятся 
также приказы и письма руководителей ведомств и министерств.
К основным ведомствам, регулирующим отношения в обла-
сти защиты информации, относятся:
·	Межведомственная комиссия по защите государственной тайны;
·	Федеральная служба технического и экспортного контро -
ля (ФСТЭК);
·	Госстандарт России;
·	Федеральная служба безопасности (ФСБ РФ).
Кроме этого, в обеспечении информационной безопасности 
принимают участие Служба внешней разведки России и Феде-ральная пограничная служба.
Основным органом управления государственной системы за-
щиты информации является ФСТЭК. В соответствии со свои-ми функциями она осуществляет:
·	координацию деятельности органов и организаций в об-ласти защиты информации, обрабатываемой технически-ми средствами;
·	обеспечения защиты информации при помощи техниче-ских средств;
·	организационно-методическое руководство деятельно-стью по защите информации;
·	разработку и финансирование научно-технических про-
грамм по защите информации;
·	утверждение нормативно-технической документации;
·	функции государственного органа по сертификации про-дукции по требованиям безопасности информации;
·	лицензирование деятельности предприятий по оказанию 
услуг в области защиты информации.
663. Государственная политика информационной безопасности
Для организации и осуществления защиты информации 
ФСТЭК издает соответствующие нормативные документы.
Госстандарт разрабатывает стандарты в области защиты ин-
формации.
Органы ФСБ РФ выполняют свои функции:
·	при формировании и реализации государственной и науч-но-технической политики в области обеспечения инфор-мационной безопасности, в том числе с использованием инженерно-технических и криптографических средств;
·	при обеспечении криптографическими и инженерно-тех-ническими методами безопасности информационно-теле-коммуникационных систем, а также систем шифрованной, засекреченной и иных видов специальной связи в России и её учреждениях, находящихся за пределами России;
·	лицензирования и сертификации отдельных видов дея-тельности, предусматривающих допуск к государствен-ной тайне Российской Федерации.
Органы МВД ведут борьбу с правонарушителями в инфор-
мационной сфере и компьютерными преступлениями. Для это-го в структуре МВД создано специальное управление «Р» для 
предотвращения и раскрытия компьютерных преступлений.
Органы Государственного таможенного комитета (ГТК) обя-
заны предупреждать незаконный ввоз и вывоз из России «пи-ратской» продукции, обеспечивая тем самым защиту авторских и патентных прав.
Руководители предприятий, организаций, учреждений в со-
ответствии со своими должностными обязанностями при дея-тельности, связанной с информацией, которая составляет госу-дарственную или иную тайну, создают службу (подразделение) по защите информации. Для организации соответствующей де-ятельности они издают нормативные правовые акты (приказы, распоряжения), а также утверждают руководства, инструкции, положения, правила, методические рекомендации, касающиеся защиты информации и деятельности служб защиты информа-
673.2. Органы обеспечения информационной безопасности и защиты информации, их функции и задачи
ции. Для деятельности, связанной с государственной тайной, 
предприятие должно иметь лицензию на этот вид деятельности, в его структуру вводится специальный отдел ФСБ; все средства защиты должны быть сертифицированы.
Судебная власть осуществляет надзор и привлечение к от-
ветственности за нарушения законодательства в информаци-онной сфере. В своей деятельности суды руководствуются со-ответствующими статьями УК РФ, ГК РФ, КОАП.
Итак, информационная безопасность является важной со-
ставляющей национальной безопасности России. Политика го-сударства в этой сфере деятельности направлена в первую оче-редь на организацию защиты государственной тайны и развитие 
правовых основ защиты информации. Правовая защита инфор-мации выступает как один из наиболее важных способов и ме-тодов защиты информации.
Вопросы для самоконтроля
1. Каково место информационной безопасности в системе национальной безопасности Российской Федерации?
2. Сформулируйте основные положения Доктрины инфор-мационной безопасности РФ.
3. Каковы основные цели защиты информации?
4. Каковы основные задачи в области информационной без-опасности?
5. Какова структура государственной системы защиты ин-формации?
6. Кто несет ответственность за нарушение режима защиты информации?
7. Каковы функции руководителей предприятий при орга-низации защиты информации?
8. Каковы основные функции ФСТЭК?
9. Покажите роль различных министерств и ведомств в во-просах защиты информации.
68 
4. Угрозы информационной безопасности
 Анализ уязвимостей системы   Классификация угроз информа-
ционной безопасности  Основные направления и методы реализа-
ции угроз  Неформальная модель нарушителя  Оценка уязвимо-
